店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
iQOO官方旗舰店,vivo,10048400000000,vivoiQOO Neo6,骁龙8 Gen 1,6400万像素,1600万像素,Android,2000+,3299.0
酷族数码旗舰店,小米,10039000000000,小米（MI）红米Note11,天玑810,5000万像素,1600万像素,Android,5000+,1499.0
诺基亚手机京东自营旗舰店,诺基亚,100028000000,诺基亚215,其他,无后置摄像头,无前置摄像头,功能机,2万+,269.0
优爱特手机专营店,小米,10024900000000,小米（MI）Redmi Note9 Pro,骁龙750G,1亿像素,1600万像素,Android,5000+,1338.0
京东之家官方旗舰店,OPPO,10031400000000,OPPOA32,其他,其他,其他,其他,500+,799.0
炜东电商旗舰店,三星,10030900000000,三星（SAMSUNG）F52,骁龙750G,6400万像素,1600万像素,Android,1000+,1396.0
中国电信自营旗舰店,vivo,100015000000,vivoiQOO Z5,骁龙778G,6400万像素,1600万像素,Android,1000+,1999.0
荣耀京东自营旗舰店,荣耀,100032000000,荣耀MagicV 折叠屏,其他,其他,其他,Android,5000+,9999.0
茄子手机旗舰店,黑鲨,10047900000000,黑鲨黑鲨5 ,其他,其他,其他,其他,97,2789.0
诺基亚手机京东自营旗舰店,诺基亚,100023000000,诺基亚105 ,紫光展锐,无后置摄像头,无前置摄像头,功能机,5万+,199.0
魅族京东自营旗舰店,魅族,100027000000,魅族18X,骁龙870,6400万像素,其他,Android,5000+,2699.0
耐谷手机旗舰店,华为,10050700000000,华为畅享20 Plus ,其他,其他,其他,Android,500+,786.0
京东之家官方旗舰店,华为,10046200000000,华为（HUAWEI）nova 9 SE,骁龙680,10800万像素,1600万像素,其他,1000+,2319.0
飞利浦手机京东自营旗舰店,飞利浦,100030000000,飞利浦PH1,其他,1300万像素,500万像素,Android,5000+,599.0
天语手机京东自营官方旗舰店,天语,5204046,天语T2,其他,无后置摄像头,无前置摄像头,功能机,50万+,99.0
炜东电商旗舰店,荣耀,10032600000000,荣耀（HONOR）荣耀50pro,骁龙778G,10800万像素,3200万像素,Android,5000+,2669.0
京铠玄手机旗舰店,小米,10024800000000,小米（MI）Redmi  Note9 ,天玑800U,4800万像素,1300万像素,Android,2万+,1029.0
疆界互联旗舰店,荣耀,10031100000000,荣耀（HONOR）荣耀play5T,其他,1300万像素,500万像素,Android,1万+,1499.0
小辣椒手机京东自营官方旗舰店,小辣椒,100035000000,小辣椒NB18,其他,1300万像素,500万像素,Android,1000+,529.0
天天数码二手手机专营店,vivo,10023000000000,vivo Y67 二手,其他,其他,其他,其他,2000+,278.0
炜东电商旗舰店,华为,10036500000000,华为（HUAWEI）华为nova9,其他,其他,其他,HarmonyOS 2,1万+,2519.0
京联通达旗舰店,荣耀,10029700000000,荣耀（HONOR）荣耀畅玩20,其他,其他,其他,Android,1万+,899.0
OPPO优品专卖店,OPPO,10031200000000,OPPOReno6,其他,6400万像素,3200万像素,Android,2000+,2499.0
京东移动生态自营专区,荣耀,100018000000,荣耀荣耀60,骁龙778G,10800万像素,3200万像素,其他,2000+,2389.0
小米手机官方旗舰店,小米,10045300000000,小米（MI）22011211C,其他,1亿像素,其他,Android,2000+,3599.0
华为京东自营官方旗舰店,华为,100029000000,华为Mate X2,麒麟9000,5000万像素,1600万像素,HarmonyOS 2,5万+,19699.0
荣耀京东自营旗舰店,荣耀,100015000000,荣耀X30 Max,天玑900,6400万像素,800万像素,Android,1万+,2699.0
京铠玄手机旗舰店,华为,10049800000000,华为智选 Hi nova9se ,骁龙695,10800万像素,1600万像素,Android,500+,2649.0
炜东电商旗舰店,小米,10024800000000,小米（MI）Redmi Note 9 ,天玑800U,4800万像素,1300万像素,Android,2万+,1038.0
京东之家官方旗舰店,小米,10029200000000,小米（MI）Redmi  Note9 ,天玑800U,4800万像素,1300万像素,Android,1万+,1049.0
炜东电商旗舰店,荣耀,10030000000000,荣耀（HONOR）荣耀畅玩20,Unisoc T610,1300万像素,500万像素,Android,2万+,889.0
vivo官方旗舰店,vivo,10036800000000,vivoX70 Pro+,骁龙888 Plus,5000万像素,3200万像素,Android,2000+,5199.0
索爱（soaiy）手机京东自营旗舰店,索爱,100018000000,索爱S40A,其他,1600万像素,800万像素,Android,1000+,479.0
vivo官方旗舰店,vivo,10038500000000,vivovivo T1,骁龙778G,6400万像素,1600万像素,Android,2000+,1899.0
AGM京东自营官方旗舰店,AGM,100026000000,AGMH2,其他,1300万像素,800万像素,Android,1000+,1399.0
京域手机旗舰店,vivo,71059865852,vivoiQOO Z5,骁龙778G,6400万像素,1600万像素,Android,2万+,1599.0
小米手机官方旗舰店,小米,10041000000000,Redmi Note11 ,其他,其他,其他,Android,5000+,1069.0
vivo官方旗舰店,vivo,10038500000000,vivovivo T1,骁龙778G,6400万像素,1600万像素,Android,2000+,1699.0
京东之家官方旗舰店,华为,10047200000000,华为（HUAWEI）nova 9 Pro,其他,其他,其他,HarmonyOS 2,500+,3249.0
OPPO酷炫手机专卖店,OPPO,10044300000000,OPPOFind X5,骁龙888,5000万像素,3200万像素,Android,200+,4769.0
iQOO京东官方自营旗舰店,vivo,100031000000,vivoiQOO U5,其他,5000万像素,800万像素,Android,1万+,1349.0
OPPO品速专卖店,OPPO,10040900000000,OPPOReno7,骁龙778G,6400万像素,3200万像素,Android,2000+,2269.0
优爱特手机专营店,华为,10045100000000,华为（HUAWEI）畅享 20e,其他,1300万像素,800万像素,Android,2万+,1089.0
vivo京东自营官方旗舰店,vivo,100023000000,vivoS10 Pro,天玑1100,10800万像素,4400万像素,Android,5万+,2699.0
荣耀京东自营旗舰店,荣耀,100025000000,荣耀Magic3,骁龙888,5000万像素,1300万像素,Android,5万+,4299.0
中兴京东自营官方旗舰店,中兴,100021000000,中兴Axon40Ultra,骁龙8 Gen 1,6400万像素,1600万像素,Android,500+,5298.0
vivo京东自营官方旗舰店,vivo,100036000000,vivoX Fold,骁龙8 Gen 1,5000万像素,1600万像素,Android,1000+,8999.0
中国电信自营旗舰店,荣耀,100014000000,荣耀荣耀50 SE,天玑900,1亿像素,1600万像素,Android,2000+,1609.0
飞利浦手机京东自营旗舰店,飞利浦,100014000000,飞利浦E309,其他,其他,其他,功能机,2万+,179.0
魅族京东自营旗舰店,魅族,100019000000,魅族18 Pro,骁龙888,5000万像素,4400万像素,Android,2万+,3299.0
vivo官方旗舰店,vivo,10042700000000,vivovivo Y32,其他,其他,其他,Android,2000+,1099.0
京东之家官方旗舰店,荣耀,10048500000000,荣耀（HONOR）荣耀play6t,天玑810,4800万像素,800万像素,Android,500+,1399.01
荣耀京东自营旗舰店,荣耀,100023000000,荣耀50 PRO ,其他,10800万像素,1200万像素,Android,10万+,3699.0
OPPO官方直营旗舰店,OPPO,10024700000000,OPPO A32,其他,1300万像素,800万像素,Android,2万+,899.0
黑鲨京东自营官方旗舰店,黑鲨,100019000000,黑鲨4 Pro,骁龙888,6400万像素,2000万像素,Android,2万+,3199.0
景威手机专营店,小米,10043000000000,小米（MI）Redmi  Note9 ,天玑800U,4800万像素,1300万像素,Android,1000+,1049.0
京铠玄手机旗舰店,华为,10025700000000,华为（HUAWEI）nova 8 Pro,麒麟985,6400万像素,3200万像素,Android,5000+,3187.0
炜东电商旗舰店,华为,10046500000000,华为（HUAWEI）P50 E,骁龙778G 4G,5000万像素,1300万像素,其他,1000+,4458.0
京联通达旗舰店,小米,44033283662,Redmi红米9a 小米,其他,其他,其他,其他,2万+,589.0
一佳手机专营店,荣耀,10035100000000,荣耀X20 全网通,天玑900,6400万像素,1600万像素,Android,1000+,1369.0
头号卖家旗舰店,vivo,10037100000000,vivoiQOO Z5,骁龙778G,6400万像素,1600万像素,Android,2000+,1999.0
京铠玄手机旗舰店,华为,10043400000000,华为（HUAWEI）畅享 20e,麒麟710A,1300万像素,800万像素,HarmonyOS 2,2000+,1088.0
小米京东自营旗舰店,小米,100017000000,小米小米11青春活力版,骁龙778G,6400万像素,2000万像素,Android,2万+,1899.0
景威手机专营店,小米,10043200000000,小米（MI）Redmi Note 9 ,骁龙662,4800万像素,800万像素,Android,1000+,899.0
金诚腾达手机旗舰店,天语,10039800000000,天语（K-Touch）i13,其他,1300万像素,800万像素,Android,1000+,799.0
炜东电商旗舰店,华为,10046000000000,华为（HUAWEI）nova9 SE,骁龙680,其他,其他,HarmonyOS 2.0.1,2000+,2319.0
小米手机官方旗舰店,小米,10033000000000,小米11 ultra ,骁龙888,5000万像素,2000万像素,Android,2000+,3999.0
京东移动生态自营专区,OPPO,100035000000,OPPOA93,其他,4800万像素,800万像素,Android,2000+,1999.0
飞利浦手机京东自营旗舰店,飞利浦,100022000000,飞利浦E535,其他,其他,无前置摄像头,功能机,2万+,399.0
一佳手机专营店,华为,10043900000000,华为nova8se ,麒麟710A,6400万像素,1600万像素,HarmonyOS 2,5000+,1799.0
中国移动官方旗舰店,小米,100019000000,小米Redmi Note 9 ,天玑800U,4800万像素,1300万像素,Android,1万+,1299.0
OPPO酷炫手机专卖店,OPPO,10037200000000,OPPOK9 Pro,天玑1200,6400万像素,1600万像素,Android,1000+,2399.0
移联翼手机旗舰店,纽曼,10045400000000,纽曼（Newman）M40智能,其他,其他,其他,Android,1000+,399.0
vivo京东自营官方旗舰店,vivo,100028000000,vivoS10e,天玑900,6400万像素,3200万像素,Android,5000+,2099.0
iQOO官方旗舰店,vivo,10034400000000,vivoiQOO 8,骁龙888,4800万像素,1600万像素,Android,5000+,2999.0
炜东电商旗舰店,华为,10034500000000,华为（HUAWEI）华为P50pro,其他,5000万像素,1300万像素,HarmonyOS 2,1万+,5958.0
景威手机专营店,小米,10042600000000,小米（MI）Redmi Note10 ,天玑700,4800万像素,800万像素,Android,2000+,1029.0
头号卖家旗舰店,OPPO,10040900000000,OPPOReno7,骁龙778G,6400万像素,3200万像素,Android,5000+,2299.0
京东之家官方旗舰店,小米,10047700000000,小米（MI）Redmi 10A,其他,其他,其他,Android,500+,699.0
上海电信京东自营旗舰店,荣耀,100026000000,荣耀畅玩 20,Unisoc T610,1300万像素,500万像素,Android,2000+,939.0
詹姆士手机旗舰店,关爱心,10027200000000,,其他,其他,其他,Android,2000+,999.0
京合旗舰店,荣耀,10040800000000,荣耀（HONOR）荣耀60,骁龙778G,10800万像素,3200万像素,Android,5000+,3299.0
疆界互联旗舰店,荣耀,10046800000000,荣耀（HONOR）荣耀play6T,天玑700,1300万像素,500万像素,Android,500+,2599.0
VERTU官方旗舰店,VERTU,10037500000000,VERTUiVERTU ,骁龙888,6400万像素,1600万像素,其他,200+,19800.0
飞利浦手机京东自营旗舰店,飞利浦,100026000000,飞利浦E536,其他,无后置摄像头,无前置摄像头,功能机,2万+,198.0
iQOO官方旗舰店,vivo,10041300000000,vivoiQOO Neo5s,骁龙888,其他,其他,Android,5000+,2799.0
掌视界数码旗舰店,荣耀,10042300000000,荣耀（HONOR）荣耀X30,其他,4800万像素,1600万像素,Android,1万+,1469.0
头号卖家旗舰店,小米,10028500000000,小米（MI）11 ,其他,其他,其他,Android,1000+,3899.0
SONY京东自营官方旗舰店,索尼,100028000000,索尼Xperia PRO-I,其他,其他,其他,Android,1000+,8999.0
秦王湖手机旗舰店,荣耀,10043400000000,荣耀X30 ,其他,其他,其他,Android,2000+,1899.0
微炫数码旗舰店,小米,10031500000000,小米 Redmi 红米Note10 ,天玑700,其他,其他,Android,5000+,979.0
伟德手机专营店,小米,10025000000000,小米（MI）Redmi  Note9 ,天玑800U,4800万像素,1300万像素,Android,5000+,1058.0
OPPO京东自营官方旗舰店,OPPO,100016000000,OPPOReno7 Pro,其他,其他,其他,Android,2万+,3699.0
小辣椒手机京东自营官方旗舰店,小辣椒,100020000000,小辣椒NB13,其他,1300万像素,500万像素,Android,1000+,689.0
京东之家官方旗舰店,小米,10029200000000,小米（MI）Redmi Note9 Pro,骁龙750G,1亿像素,1600万像素,Android,1万+,1299.0
头号卖家旗舰店,vivo,10042500000000,vivoS12 Pro,天玑1200,10800万像素,其他,Android,500+,2369.0
中国移动官方旗舰店,荣耀,100033000000,荣耀荣耀60 SE,其他,其他,其他,其他,2000+,2499.0
金麦子二手手机专营店,OPPO,67852995190,OPPOR15X,其他,其他,其他,其他,1000+,699.0
三星京东自营官方旗舰店,三星,100033000000,三星Galaxy S22+,其他,5000万像素,1000万像素,Android,2000+,7399.0
飞利浦手机京东自营旗舰店,飞利浦,100032000000,飞利浦E568,其他,其他,其他,功能机,1万+,214.0
中国移动官方旗舰店,小米,100012000000,小米Redmi Note10 Pro,其他,其他,其他,Android,5万+,1599.0
小米手机官方旗舰店,小米,10039000000000,小米（MI）Redmi Note 11 Pro+,天玑920,其他,其他,Android,1万+,2069.0
OPPO官方直营旗舰店,OPPO,10040800000000,OPPO Reno7,其他,其他,其他,Android,1万+,3029.0
微炫数码旗舰店,荣耀,10032600000000,荣耀50 SE 1亿像素清影像 ,天玑900,其他,其他,Android,5000+,1589.0
中国电信自营旗舰店,荣耀,100020000000,荣耀畅玩 20,Unisoc T610,1300万像素,500万像素,Android,2000+,899.0
华为京东自营官方旗舰店,Hi nova,100037000000,Hi novaHi nova 9 SE,骁龙695,10800万像素,1600万像素,Android,2000+,2499.0
长沙联通官方自营旗舰店,华为,100030000000,华为荣耀畅玩20,Unisoc T610,其他,其他,Android,5000+,1099.0
优锋派二手商品专营店,OPPO,10040900000000,OPPOOPPO R11,骁龙660,其他,其他,Android,1000+,408.0
江苏移动京东自营店,荣耀,100033000000,荣耀畅玩 20,Unisoc T610,1300万像素,500万像素,Android,200+,939.0
Hi nova京东自营旗舰店,Hi nova,100021000000,Hi novaHi nova 9 SE,骁龙695,1亿像素,1600万像素,Android,500+,2499.0
三星京东自营官方旗舰店,三星,100035000000,三星Galaxy A53 ,其他,6400万像素,3200万像素,Android,1000+,3699.0
olj欧霖爵手机旗舰店,荣耀,10034800000000,荣耀畅玩20 5000mAh大电池续航   学生千元,Unisoc T610,1300万像素,500万像素,Android,5000+,999.0
疆界互联旗舰店,华为,10023400000000,华为（HUAWEI）华为mate40 pro ,其他,5000万像素,1300万像素,Android,2万+,7489.0
iQOO官方旗舰店,vivo,10042400000000,vivovivo iQOO Neo5SE,骁龙870,其他,其他,Android,2000+,2299.0
OPPO官方直营旗舰店,OPPO,10036900000000,OPPOK9 Pro,天玑1200,6400万像素,1600万像素,Android,1万+,1899.0
华信通手机专营店,华为,10048200000000,华为（HUAWEI）畅享 20e,其他,1300万像素,800万像素,HarmonyOS 2,500+,1099.0
诺基亚手机京东自营旗舰店,诺基亚,100023000000,诺基亚105 ,紫光展锐,无后置摄像头,无前置摄像头,功能机,20万+,199.0
OPPO京东自营官方旗舰店,OPPO,100022000000,OPPOReno6 Pro+ ,骁龙870,5000万像素,3200万像素,Android,10万+,3399.0
OPPO京东自营官方旗舰店,OPPO,100020000000,OPPOA35,MT6765,1300万像素,800万像素,Android,1万+,999.0
vivo京东自营官方旗舰店,vivo,100033000000,vivoX70t,三星Exynos 1080,4000万像素,3200万像素,Android,2万+,3299.0
纽曼京东自营官方旗舰店,纽曼,100002000000,纽曼R15,其他,其他,无前置摄像头,功能机,5万+,129.0
中国联通京东自营官方旗舰店,Apple,100027000000,AppleiPhone 13,其他,1200万像素,1200万像素,iOS,2万+,5299.0
疆界互联旗舰店,荣耀,10044000000000,荣耀（HONOR）荣耀Magic4,骁龙8 Gen 1,其他,其他,Android,500+,6999.0
疆界互联旗舰店,真我,10038500000000,真我（realme）真我GT neo2T ,天玑1200,其他,其他,Android,2000+,1589.0
小米手机官方旗舰店,小米,10045300000000,小米（MI）22021211RC,其他,其他,其他,Android,5000+,1969.0
酷族数码旗舰店,小米,10031400000000,小米 红米9A Redmi9A 智能学生老人,其他,1300万像素,500万像素,Android,2万+,585.0
冰之凯盛手机旗舰店,华为,10041500000000,,其他,其他,其他,Android,5000+,1299.0
疆界互联旗舰店,小米,10024900000000,小米（MI）小米11,骁龙888,1亿像素,2000万像素,Android,2万+,2988.0
疆界互联旗舰店,荣耀,10029200000000,荣耀（HONOR）荣耀50pro（,骁龙778G,1亿像素,3200万像素,Android,2000+,3899.01
VERTU官方旗舰店,VERTU,10038600000000,VERTUiVERTU,骁龙888,6400万像素,1600万像素,其他,32,19800.0
小米手机官方旗舰店,小米,10039000000000,小米（MI）Redmi Note 11 Pro,天玑920,其他,其他,Android,1万+,2099.0
联想京东自营官方旗舰店,联想,10045000000000,联想（Lenovo）拯救者Y90,骁龙8,6400万像素,1600万像素,Android,500+,3699.0
百事乐手机官方旗舰店,百事乐,10049300000000,全新上市新款百事乐,其他,其他,其他,Android,2000+,499.0
小米京东自营旗舰店,小米,100022000000,小米Redmi Note10 ,天玑700,4800万像素,800万像素,Android,20万+,1199.0
形派手机旗舰店,百事乐,10043700000000,新款P13 Pro超薄游戏智能,其他,其他,其他,其他,2000+,669.0
Unihertz手机旗舰店,Unihertz,10025200000000,Unihertz Jelly 2 超小智能双卡双待3.0英寸迷你小,其他,1600万像素,800万像素,Android,2000+,1468.0
realme真我官方旗舰店,真我,10026600000000,realme 真我GT 高通骁龙888 120Hz电竞屏 65W智慧闪充 双,骁龙888,6400万像素,1600万像素,Android,1万+,1999.0
一加官方旗舰店,一加,10048900000000,一加 Ace ,其他,其他,其他,Android,500+,2999.0
茄子手机旗舰店,Apple,10037100000000,AppleiPhone 13,其他,1200万像素,1200万像素,iOS,5万+,7499.0
淘金手机旗舰店,小米,71879275107,小米红米9A Redmi智能老人,其他,其他,其他,其他,5万+,599.0
华为京东自营官方旗舰店,U-Magic,100025000000,优畅享20 Plus ,其他,4800万像素,1600万像素,Android,5万+,1699.0
华信通手机专营店,华为,10038400000000,华为智选 优畅享20 ,其他,1300万像素,800万像素,Android,1万+,1189.0
飞利浦手机京东自营旗舰店,飞利浦,100029000000,飞利浦PH2,其他,1300万像素,500万像素,Android,2000+,779.0
疆界互联旗舰店,小米,10038300000000,小米（MI）小米,天玑1200,6400万像素,1600万像素,Android,5000+,1599.0
形派手机旗舰店,酷维,10045300000000,新款酷维A13 全网通,其他,其他,其他,Android,5000+,399.0
头号卖家旗舰店,vivo,10047400000000,vivoiQOO U5x,骁龙680,1300万像素,800万像素,Android,86,899.0
鹏瑶旗舰店,华为,10021200000000,华为智选 优 畅享20 ,其他,其他,其他,Android,1万+,1149.0
华为京东自营官方旗舰店,Hi nova,100030000000,Hi novaHi nova 9,骁龙778G,5000万像素,3200万像素,Android,2万+,3099.0
京东移动生态自营专区,Apple,100032000000,AppleiPhone 13,其他,1200万像素,1200万像素,iOS,2万+,5998.0
飞利浦手机京东自营旗舰店,飞利浦,100020000000,飞利浦E506,紫光展锐,无后置摄像头,无前置摄像头,功能机,5万+,219.0
芒果二手手机专营店,维沃,10032400000000,维沃（vivo）y93s,其他,其他,其他,其他,2000+,495.0
头号卖家旗舰店,vivo,10038600000000,vivoiQOO Z5x,天玑900,5000万像素,800万像素,Android,1000+,1399.0
诺基亚手机京东自营旗舰店,诺基亚,100008000000,诺基亚105,其他,无后置摄像头,无前置摄像头,功能机,50万+,139.0
华信通手机专营店,荣耀,10035100000000,荣耀Magic3 / Magic3Pro  ,其他,其他,其他,Android,1000+,3589.0
柏新优品二手手机专营店,华为,10030100000000,华为 HUAWEI 畅享10e 二手,其他,其他,其他,其他,1000+,558.0
疆界互联旗舰店,小米,10038400000000,小米（MI）红米Note11,天玑810,5000万像素,1600万像素,Android,5000+,1199.0
疆界互联旗舰店,小米,10027200000000,,骁龙870,1亿像素,2000万像素,Android,1万+,2688.0
小米手机官方旗舰店,小米,10039000000000,小米（MI）Redmi Note 11 ,其他,其他,其他,Android,1万+,1299.0
漫博游旗舰店,华为,10040500000000,华为智选 NZone S7 Pro-S7 Pro+ ,其他,其他,其他,其他,2000+,1299.0
头号卖家旗舰店,vivo,10042200000000,vivoY55s,天玑700,5000万像素,800万像素,Android,1000+,1269.0
iQOO官方旗舰店,vivo,10035900000000,vivoiQOO Z5,骁龙778G,6400万像素,1600万像素,Android,1万+,1699.0
摩托罗拉手机京东自营官方旗舰店,摩托罗拉,100030000000,摩托罗拉摩托罗拉 moto g51,其他,5000万像素,1300万像素,Android,500+,1499.0
诺基亚手机京东自营旗舰店,诺基亚,100015000000,诺基亚125,其他,无后置摄像头,无前置摄像头,功能机,10万+,179.0
OPPO官方直营旗舰店,OPPO,10048600000000,OPPOK10,其他,6400万像素,1600万像素,Android,500+,2199.0
席泰数码专营店,荣耀,10043600000000,荣耀畅玩20 5000mAh大电池 6.5英寸大屏  莱茵护眼 双卡双待 全网通,紫光展锐,1300万像素,500万像素,Android,5000+,758.0
京东之家官方旗舰店,OPPO,10045500000000,OPPOA36,其他,1300万像素,800万像素,Android,200+,999.0
realme真我官方旗舰店,真我,10033600000000,真我（realme）realme 真我GT 大师探索版,骁龙870,5000万像素,3200万像素,Android,1万+,2899.0
OPPO优品专卖店,OPPO,10024700000000,OPPOoppoa32,其他,1300万像素,800万像素,Android,2万+,899.0
耐谷手机旗舰店,小米,10047700000000,小米（MI）Redmi 10A,其他,其他,其他,Android,2000+,649.0
京铠玄手机旗舰店,华为,10034900000000,华为（HUAWEI）NZone s7pro ,天玑720,6400万像素,1600万像素,Android,2万+,1799.0
海信手机京东自营旗舰店,海信,100017000000,海信A7,其他,1600万像素,500万像素,Android,2万+,2399.0
华信通手机专营店,华为,10037600000000,华为智选 优畅享20plus ,其他,4800万像素,1600万像素,Android,2000+,1489.0
纽曼手机旗舰店,纽曼,10039100000000,纽曼（Newman）T12,其他,其他,其他,功能机,1万+,85.0
vivo五通专卖店,vivo,10036700000000,vivovivo Y71t,天玑810,6400万像素,1600万像素,其他,500+,1399.0
realme真我京东自营旗舰店,真我,100021000000,真我Q5i,天玑810,1300万像素,800万像素,Android,500+,1299.0
炜东电商旗舰店,华为,10023100000000,华为（HUAWEI）Mate 40 Pro,其他,其他,其他,Android,5万+,7349.0
OPPO手机乐良专卖店,OPPO,10028000000000,OPPOA93,其他,4800万像素,800万像素,Android,500+,1599.0
京东电竞手机官方旗舰店,荣耀,10048500000000,荣耀60 SE 新款,天玑900,6400万像素,1600万像素,Android,500+,2299.0
天翼电信京东自营旗舰店,荣耀,100030000000,荣耀荣耀60,骁龙778G,10800万像素,3200万像素,Android,1000+,2649.0
欧霖爵官方旗舰店,荣耀,10044800000000,荣耀60 SE ,天玑900,其他,其他,其他,500+,2699.0
天语手机京东自营官方旗舰店,天语,6380419,天语Q31,其他,其他,无前置摄像头,功能机,20万+,126.0
天语手机京东自营官方旗舰店,天语,100018000000,天语N1 ,其他,其他,其他,功能机,20万+,198.0
realme真我京东自营旗舰店,真我,100021000000,真我Q5,骁龙695,5000万像素,1600万像素,Android,2000+,1399.0
京东之家官方旗舰店,华为,10028900000000,华为（HUAWEI）Mate 40 Pro,其他,5000万像素,1300万像素,Android,5000+,6099.0
守护宝手机京东自营旗舰店,守护宝,100018000000,守护宝K289 健康码版,其他,其他,其他,功能机,1万+,349.0
炜东电商旗舰店,荣耀,10044500000000,荣耀（HONOR）荣耀magic4,其他,其他,其他,Android,500+,4499.0
OPPO手机乐良专卖店,OPPO,10043000000000,OPPOA36,其他,1300万像素,800万像素,Android,100+,999.0
头号卖家旗舰店,OPPO,10042500000000,,其他,其他,其他,Android,1000+,1399.0
纽曼京东自营官方旗舰店,纽曼,100014000000,纽曼N220,其他,其他,其他,功能机,1万+,129.0
微焱数码旗舰店,荣耀,10031900000000,荣耀（HONOR）荣耀60,骁龙778G,10800万像素,3200万像素,Android,5000+,2499.0
OPPO官方直营旗舰店,OPPO,10044500000000,OPPOOPPO Find X5,其他,其他,其他,Android,1000+,3999.0
形派手机旗舰店,朵唯,10025100000000,朵唯（DOOV）V9,其他,其他,无前置摄像头,功能机,2000+,88.0
海信手机京东自营旗舰店,海信,100038000000,海信A9,其他,其他,其他,Android,0,1999.0
OPPO酷炫手机专卖店,OPPO,10049600000000,OPPOK10,其他,6400万像素,1600万像素,Android,86,2599.0
头号卖家旗舰店,vivo,10042500000000,vivoY32,其他,1300万像素,800万像素,Android,2000+,899.0
炜东电商旗舰店,华为,10041100000000,华为（HUAWEI）nova 8 SE,其他,其他,其他,HarmonyOS 2,2000+,1649.0
疆界互联旗舰店,华为,10046700000000,华为（HUAWEI）P50E,骁龙778G,其他,其他,HarmonyOS 2,200+,4458.0
iQOO智美专卖店,vivo,10034700000000,vivoiQOO 8 Pro,骁龙888,4800万像素,1600万像素,Android,5000+,2999.0
头号卖家旗舰店,vivo,10038900000000,vivoT1,骁龙778G,6400万像素,1600万像素,Android,500+,1699.0
黑鲨京东自营官方旗舰店,黑鲨,100027000000,黑鲨,骁龙870,4800万像素,2000万像素,Android,2万+,3199.0
一佳手机专营店,荣耀,10039600000000,荣耀（HONOR）荣耀X30 Max ,天玑900,6400万像素,800万像素,Android,200+,2399.0
一佳手机专营店,华为,10039000000000,华为（HUAWEI）畅享 20e,麒麟710A,1300万像素,800万像素,HarmonyOS 2,2000+,1069.0
京东之家官方旗舰店,真我,10030100000000,真我（realme）Q3s,骁龙778G,其他,其他,Android,1万+,1299.0
vivo京东自营官方旗舰店,vivo,100034000000,vivoY33s,天玑700,1300万像素,800万像素,Android,1000+,1499.0
新迪恒数码专营店,飞利浦,23928557015,飞利浦（PHILIPS ）Xenium E535,其他,其他,无前置摄像头,功能机,2万+,398.0
小米手机官方旗舰店,小米,10033000000000,小米11 ,骁龙888,1亿像素,2000万像素,Android,1000+,3469.0
疆界互联旗舰店,荣耀,10031300000000,荣耀（HONOR）荣耀50SE,天玑900,1亿像素,1600万像素,Android,5000+,1588.0
鹏宇佳业手机专营店,纽曼,10043200000000,纽曼（Newman）K30（T30）,其他,其他,其他,其他,200+,65.0
vivo官方旗舰店,vivo,10042200000000,vivoY55s,天玑700,5000万像素,800万像素,Android,500+,1299.0
守护宝手机京东自营旗舰店,守护宝,100007000000,守护宝F20,其他,800万像素,500万像素,Android,2万+,449.0
天语手机京东自营官方旗舰店,天语,100018000000,天语V9S,其他,其他,其他,功能机,5万+,299.0
居然智慧家旗舰店,小米,10047800000000,小米（MI）小米Redmi 10A（220233L2C）,Helio G25,1300万像素,500万像素,Android,500+,699.0
vivo五通专卖店,vivo,10042200000000,vivoS12,天玑1100,10800万像素,4400万像素,其他,1000+,2599.0
京东电竞手机官方旗舰店,华为,10046100000000,华为nova8se 麒麟710A芯片 搭载HarmonyOS系统 华为,麒麟710A,6400万像素,1600万像素,HarmonyOS 2,500+,1639.0
纽曼京东自营官方旗舰店,纽曼,100016000000,纽曼L8,其他,无后置摄像头,无前置摄像头,功能机,2万+,168.0
疆界互联旗舰店,小米,10046800000000,小米（MI）红米K50 Pro,其他,1亿像素,其他,Android,1000+,4999.0
佳沪电商旗舰店,Apple,10036100000000,Apple苹果13,其他,其他,其他,iOS,2万+,5539.0
纽曼京东自营官方旗舰店,纽曼,100005000000,纽曼N99,其他,无后置摄像头,无前置摄像头,功能机,2万+,99.0
新迪恒数码专营店,誉品,1202626888,誉品（YEPEN）K50,紫光展锐,其他,其他,Android,5万+,899.0
京东之家官方旗舰店,华为,10041200000000,华为（HUAWEI）nova 8 SE,其他,其他,其他,其他,1000+,1949.0
疆界互联旗舰店,荣耀,10040700000000,荣耀（HONOR）荣耀60,骁龙778G,10800万像素,3200万像素,其他,5000+,3199.01
爱摄数码专营店,SONY,62792771291,SONYXperia 5 III,骁龙888,1200万像素,其他,Android,100+,5599.0
AGM手机旗舰店,AGM,10026400000000,AGMH2,紫光展锐,1300万像素,800万像素,Android,200+,1199.0
炜东电商旗舰店,荣耀,10042200000000,荣耀（HONOR）荣耀畅玩30plus,其他,其他,其他,其他,2000+,1219.0
京铠玄手机旗舰店,荣耀,10031100000000,荣耀play5t ,Unisoc T610,其他,其他,Android,5000+,979.0
